id,title,wikipedia_link,description
288,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,http://en.wikipedia.org/wiki/Hallstatt,"Hallstatt, Upper Austria is a village in the Salzkammergut, a region in Austria. It is located near the Hallstätter See (a lake). At the 2001 census it had 946 inhabitants. Alexander Scheutz has been mayor of Hallstatt since 2009.

Hallstatt is historically known for its production of salt from the local salt mines.

Situated in the south-western shore of the Hallstätter See, the town lies in the geographical region of Salzkammergut, on the national road linking Salzburg and Graz.

Salt was a valuable resource, so the region was historically very wealthy. It is possible to tour the world's first known salt mine, located above downtown Hallstatt.
The village also gave its name to the early Iron Age Hallstatt culture and is a World Heritage Site for Cultural Heritage. Hallstatt is a popular tourist attraction owing to its small-town appeal and can be toured on foot in ten minutes.

Early history

There are to date no recorded notable events that took place in Hallstatt during Roman rule or the early Middle Ages. In 1311, Hallstatt became a market town, a sign that it had not lost its economic value. Today, apart from salt production, which since 1595 is transported for 40 kilometers from Hallstatt to Ebensee via a brine pipeline, tourism plays a major factor in the town's economic life. Tourists are told that Hallstatt is the site of ""the world's oldest pipeline""[1], which was constructed 400 years ago from 13,000 hollowed out trees.[2] There is so little place for cemeteries that every ten years bones used to be exhumed and removed into an ossuary, to make room for new burials.[2] A collection of elaborately decorated skulls with the owners' names, professions, death dates inscribed on them is on display at the local chapel.[3]

19th century

Until the late 19th century, it was only possible to reach Hallstatt by boat or via narrow trails. The land between the lake and mountains was sparse, and the town itself exhausted every free patch of it. Access between houses on the river bank was by boat or over the upper path, a small corridor passing through attics. The first road to Hallstatt was only built in 1890, along the west shore, partially by rock blasting.

However this secluded and inhospitable landscape nevertheless counts as one of the first places of human settlement because of the rich sources of natural salt, which have been mined for thousands of years, originally in the shape of hearts. Some of Hallstatt's oldest archaeological finds, such as a shoe-last celt, date back to around 5500 BC. In 1846 Johann Georg Ramsauer discovered a large prehistoric cemetery close by the current location of Hallstatt. Ramsauer's work at the Hallstatt cemeteries continued till 1863, unearthing more than 1000 burials. It is to his credit and to the enormous benefit of archaeology that he proceeded to excavate each one with the same slow, methodical care as the first. His methods included measuring and drawing each find, in an age before color photography, he produced very detailed watercolors of each assemblage before it was removed from the ground. In the history of archaeology Ramsauer's work at Hallstatt helped usher in a new, more systematic way of doing archaeology. In addition, one of the first blacksmith sites was excavated there. Active trade and thus wealth allowed for the development of a highly developed culture, which, after findings in the Salzberghochtal, was named the Hallstatt culture. This lasted from approximately 800 to 400 BC."
329,Historic Centre of Salvador de Bahia,"http://en.wikipedia.org/wiki/Salvador,_Bahia","Salvador (Portuguese pronunciation: [sawvaˈdoʁ], Savior; historic name: São Salvador da Bahia de Todos os Santos, in English: ""Holy Savior of All Saints' Bay"") is the largest-city on the northeast coast of Brazil and the capital of the Northeastern Brazilian state of Bahia. Salvador is also known as Brazil's capital of happiness due to its easygoing population and countless popular outdoor parties, including its street carnival. The first colonial capital of Brazil, the city is one of the oldest in the country and in the New World. For a long time, it was simply known as Bahia, and appears under that name (or as Salvador da Bahia, Salvador of Bahia so as to differentiate it from other Brazilian cities of the same name) on many maps and books from before the mid-20th century. Salvador is the third most populous Brazilian city, after São Paulo and Rio de Janeiro, and it is the ninth most populous city in Latin America.

The city of Salvador is notable in Brazil for its cuisine, music and architecture, and its metropolitan area is the wealthiest in Brazil's Northeast, its poorest region. Over 80% of the population of metropolitan region of Salvador has Black African ancestry, the African influence in many cultural aspects of the city makes it the center of Afro-Brazilian culture and this reflects in turn a curious situation in which African-associated cultural practices are celebrated, but Black Bahians due to their low income are apart from most of the city life options. The historical center of Salvador, frequently called the Pelourinho, is renowned for its Portuguese colonial architecture with historical monuments dating from the 17th through the 19th centuries and has been declared a World Heritage Site by UNESCO in 1985.
Salvador is located on a small, roughly triangular peninsula that separates Todos os Santos Bay from the open waters of the Atlantic Ocean. The bay, which gets its name from having been discovered on All Saints' Day forms a natural harbor. Salvador is a major export port, lying at the heart of the Recôncavo Baiano, a rich agricultural and industrial region encompassing the northern portion of coastal Bahia. The local terrain is diverse ranging from flat to rolling to hills and low mountains.

A particularly notable feature is the escarpment that divides Salvador into the Cidade Alta (""Upper Town"" - rest of the city) and the Cidade Baixa (""Lower Town"" - northwest region of the city), the former some 85 m (279 ft) above the latter,[1] with the city's cathedral and most administrative buildings standing on the higher ground. An elevator (the first installed in Brazil), known as Elevador Lacerda, has connected the two sections since 1873, having since undergone several upgrades.

The Deputado Luís Eduardo Magalhães International Airport connects Salvador with Brazilian cities and also operates international flights, and the city is home to the Federal University of Bahia."
496,Major Town Houses of the Architect Victor Horta (Brussels),http://en.wikipedia.org/wiki/Major_Town_Houses_of_the_Architect_Victor_Horta_(Brussels),"The Major Town Houses of the Architect Victor Horta in Brussels are a UNESCO World Heritage Site. They include:
Hôtel Tassel
Hôtel van Eetvelde
Hôtel Solvay
Maison & Atelier Horta, now the Horta Museum

The UNESCO commission recognized them in 2000:

The four major town houses - Hôtel Tassel, Hôtel Solvay, Hôtel van Eetvelde, and Maison & Atelier Horta - located in Brussels and designed by the architect Victor Horta, one of the earliest initiators of Art Nouveau, are some of the most remarkable pioneering works of architecture of the end of the 19th century. The stylistic revolution represented by these works is characterised by their open plan, the diffusion of light, and the brilliant joining of the curved lines of decoration with the structure of the building."
578,Nemrut Dağ,http://en.wikipedia.org/wiki/Mount_Nemrut,"Nemrut or Nemrud (Armenian: Նեմրութ լեռ; Turkish: 'Nemrut Dağı') is a 2,134 m (7,001 ft) high mountain in southeastern Turkey, notable for the summit where a number of large statues is erected around what is assumed to be a royal tomb from the 1st century BCE.

The mountain lies 40 km (25 mi) north of Kahta, near Adıyaman. In 62 BC, King Antiochus I Theos of Commagene built on the mountain top a tomb-sanctuary flanked by huge statues (8–9 m/26–30 ft high) of himself, two lions, two eagles and various Greek, Armenian, and Iranian gods, such as Hercules-Vahagn, Zeus-Aramazd or Oromasdes (associated with the Iranic god Ahura Mazda), Tyche, and Apollo-Mithras. These statues were once seated, with names of each god inscribed on them. The heads of the statues have at some stage been removed from their bodies, and they are now scattered throughout the site.

The pattern of damage to the heads (notably to noses) suggests that they were deliberately damaged because of belief in iconoclasm. The statues have not been restored to their original positions. The site also preserves stone slabs with bas-relief figures that are thought to have formed a large frieze. These slabs display the ancestors of Antiochus, who included both Greek and Persians.
The same statues and ancestors found throughout the site can also be found on the tumulus at the site, which is 49 m (161 ft) tall and 152 m (499 ft) in diameter. The statues appear to have Greek-style facial features, but Persian clothing and hairstyling.

The western terrace contains a large slab with an lion, showing the arrangement of stars and the planets Jupiter, Mercury and Mars on 7 July 62 BC. This may be an indication of when construction began on this monument. The eastern portion is well preserved, being composed of several layers of rock, and a path following the base of the mountain is evidence of a walled passageway linking the eastern and western terraces. Possible uses for this site is thought to have included religious ceremonies, due to the astronomical and religious nature of the monument.

The arrangement of such statues is known by the term hierothesion. Similar arrangements have been found at Arsameia on Nymphaios at the hierothesion of the father of Antiochus, Mithridates I Callinicus.

Ancient History

When the Seleucid Empire was defeated by the Romans in 189 BCE at the Battle of Magnesia it began to fall apart and new kingdoms were established on its territory by local authorities. Commagene being one of the Seleucid successor states occupied a land in between the Taurus mountains and the Euphrates. The state of Commagene had a wide range of cultures which left its leader from 62 BCE - 38 BCE Antiochus I to carry on a peculiar dynastic religious program, in which it included not only Greek and Persian deities but Antiochus and his family as well. This religious program was very possibly an attempt of Antiochus to unify his multiethnic kingdom and secure his dynasty's authority.[1]
Antiochus supported the cult as a propagator of happiness and salvation.[2] Many of the monuments on Mount Nemrud are ruins of the imperial cult of Commagene. The most important area to the cult was the tomb of Antiochus I, in which was decorated with colossal statues made of limestone. Although the Imperial cult did not last long after Antiochus, several of his successors had their own tombs built on Mount Nemrud.[3] For about a half a year Mount Nemrud lays covered in snow which in effect has increased its weathering in which has in part caused its statues to fall in ruin.[1]

Modern history

The site was excavated in 1881 by Charles Sester, a German engineer assessing transport routes for the Ottomans. Subsequent excavations have failed to reveal the tomb of Antiochus. This is nevertheless still believed to be the site of his burial. The statues, all of them ""beheaded"", have not been restored to their original condition.

Visiting Nemrut

In 1987, Mount Nemrut was made a World heritage site by UNESCO. Tourists typically visit Nemrut during June through August. The nearby town of Adıyaman is a popular place for car and bus trips to the site, and one can also travel from there by helicopter. There are also overnight tours running out of Malatya."
674,"Qutb Minar and its Monuments, Delhi",http://en.wikipedia.org/wiki/Qutb_complex,"The Qutb complex (Hindi: क़ुतुब परिसर, Urdu: قطب پرِسر), also spelled Qutab or Qutub, is an array of monuments and buildings at Mehrauli in Delhi, India. After the death of the commissioner, the Minar was added upon by his successor Iltutmish (aka Altamash) and much later by Firoz Shah Tughlaq, a Tughlaq dynasty, Sultan of Delhi in 1368 AD. The complex initially housed a complex of twenty-seven ancient Jain temples which were destroyed and their material used in the construction of the Quwwat-ul-Islam Mosque next to the Qutb Minar, in the Qutb complex,[1] built on the ruins of Lal Kot Fort built by Tomar Rajput ruler, Anangpal in 739 AD and Qila-Rai-Pithora, Prithviraj Chauhan's city, the Rajput king, whom Ghori's Afghan armies had earlier defeated and killed, at the Second Battle of Tarain.[2]

The complex was added to by many subsequent rulers, including Firoz Shah Tughlaq and Ala ud din Khilji as well as the British.[3]

Some constructions in the complex are the Qutb Minar, the Quwwat ul-Islam Mosque, the Alai Gate, the Alai Minar, the Iron pillar, and the tombs of Iltutmish, Alauddin Khilji and Imam Zamin; surrounded by Jain temple ruins.[4]

Today, the adjoining area spread over with a host of old monuments, including Balban's tomb, has been developed by Archeological Survey of India (ASI) as the Mehrauli Archeological Park, and INTACH has restored some 40 monuments in the Park.[5] It is also the venue of the annual 'Qutub Festival', held in November–December, where artists, musicians and dancers perform over three days. Qutb Minar complex, with 38.95 lakh visitors, was India's most visited monument in 2006, ahead of the Taj Mahal, which drew about 25.4 lakh visitors.[6]"
752,SGang Gwaay,http://en.wikipedia.org/wiki/Gwaii_Haanas_National_Park_Reserve_and_Haida_Heritage_Site,"Gwaii Haanas National Park Reserve and Haida Heritage Site, often referred to simply as Gwaii Haanas, is located in the southernmost Haida Gwaii (formerly known as Queen Charlotte Islands), 130 kilometres (81 miles) off the mainland of British Columbia, Canada. Gwaii Haanas protects an archipelago of 138 islands, the largest being Moresby Island and the southernmost being Kunghit Island.

In 1981 plans to expand logging to Burnaby Island led to the first concerted efforts to protect Gwaii Haanas.
In 1985 the Haida Nation designated Gwaii Haanas a Haida Heritage Site. Two years later logging ended when Canada and British Columbia signed the South Moresby Memorandum of Understanding.
A year later the South Moresby Agreement was signed providing for the designation of a National Park Reserve.[1]

Cooperatively managed

In 1993 the Government of Canada and the Council of the Haida Nation signed the Gwaii Haanas Agreement. This Agreement expresses respect for both Canadian and Haida interests, and includes a mutual commitment to the protection of Gwaii Haanas. Based on the Agreement, Gwaii Haanas is cooperatively managed by the Archipelago Management Board (AMB), which is made up of an equal number of representatives from the Council of Haida Nation and the Government of Canada. The AMB is responsible for all aspects of planning, operation, and management of Gwaii Haanas.[2]

Gwaii Haanas Crest

The AMB's crest crafted by local Haida artist Giitsxaa represents the unique joint management relationship.

The AMB chose the sea otter and the sea urchin because of the creatures' significance in the history and tradition of the protected area and because of their ecological significance.[4]

Populations of sea urchin, a kelp-grazing species, were once kept in check by sea otters, ensuring an abundance of kelp and species that depend upon kelp communities. With the extirpation of sea otters during the Maritime Fur Trade, the natural balance between species in the community was disturbed.[5] As a result the sea urchin population has increased dramatically over time and the health of kelp forests is threatened. The loss of the sea otter is a powerful reminder of the vulnerability of individual species and entire ecosystems.[6]

World Heritage Haida Village

Ninstints (Nan Sdins) or SGang Gwaay Llnaagay on Anthony Island, in located in the southernmost part of Gwaii Haanas, just west of Kunghit Island, was declared a UNESCO World Heritage Site in 1981. The remains of a Haida village on the eastern side of the island - SGang Gwaay Llnaagay - represent an outstanding example of a traditional Northwest Coast First Nations village site, complete with standing totem poles and the remains of cedar longhouses.[7]
Haida people have a continuing presence at SGang Gwaay and four other village sites between May to September as part of the Haida Gwaii Watchmen Program. Between two and four Watchmen live at each site serving as guardians to protect the natural and cultural heritage of these sites.[8]
Other historical villages within the boundaries of Gwaii Haanas included Cumshewa, Clew (Tanu) and Djí-gua."
849,Tyre,"http://en.wikipedia.org/wiki/Tyre,_Lebanon","Tyre (Arabic: صور, Ṣūr; Phoenician: , Ṣur; Hebrew: צוֹר‎‎, Tzor; Tiberian Hebrew צר, Ṣōr; Akkadian: ⋗⊒ Ṣurru; Greek: Τύρος, Týros; Turkish: Sur; Latin: Tyrus) is a city in the South Governorate of Lebanon. There were approximately 117,000 inhabitants in 2003,[1] however, the government of Lebanon has released only rough estimates of population numbers since 1932, so an accurate statistical accounting is not possible.[2] Tyre juts out from the coast of the Mediterranean and is located about 80 km (50 mi) south of Beirut. The name of the city means ""rock""[3] after the rocky formation on which the town was originally built. The adjective for Tyre is Tyrian, and the inhabitants are Tyrians.

Tyre is an ancient Phoenician city and the legendary birthplace of Europa and Elissa (Dido). Today it is the fourth largest city in Lebanon[4] and houses one of the nation's major ports. Tourism is a major industry. The city has a number of ancient sites, including its Roman Hippodrome which was added to UNESCO's list of World Heritage Sites in 1979.[5][6]

Tyre originally consisted of two distinct urban centers, Tyre itself, which was on an island just off shore, and the associated settlement of Ushu on the adjacent mainland. Alexander the Great connected the island to the mainland coast by constructing a causeway during his siege of the city,[7] demolishing the old city to reuse its cut stone.[8]

The original island city had two harbors, one on the south side and the other on the north side of the island. It was these two harbors that enabled Tyre to gain the maritime prominence that it did; the harbor on the north side of the island was, in fact, one of the best harbors on the eastern end of the Mediterranean. The harbor on the south side has silted over, but the harbor on the north side (see Tyre harbor photo to the right) is still in use.[9]

In ancient times, the island city of Tyre was heavily fortified (with defensive walls 150 feet (46 m) high[10]) and the mainland settlement, originally called Ushu (later, called Palaetyrus, meaning ""Old Tyre,"" by the Greeks) was actually more like a line of suburbs than any one city and was used primarily as a source of water and timber for the main island city.[11] Josephus records that the two fought against each other on occasion,[12] although most of the time they supported one another because they both benefited from the island city's wealth from maritime trade and the mainland area's source of timber, water and burial grounds. A detailed list of trading partners and merchandise can be found in the Bible in the Book of Ezekiel 27:1-24.

Foundation

Tyre was founded around 2750 BC according to Herodotus and it appears on monuments as early as 1300 BC. Philo of Byblos (in Eusebius) quotes the antiquarian authority Sanchuniathon as stating that it was first occupied by one Hypsuranius. Sanchuniathon's work is said to be dedicated to ""Abibalus king of Berytus"" -- possibly the Abibaal who was king of Tyre.[13]

There are ten Amarna letters dated 1350 BC from the mayor, Abi-Milku, written to Akenaten. The subject is often water, wood, and the Habiru overtaking the countryside, of the mainland, and how it affected the island-city.

Early history

The commerce of the ancient world was gathered into the warehouses of Tyre. ""Tyrian merchants were the first who ventured to navigate the Mediterranean waters; and they founded their colonies on the coasts and neighbouring islands of the Aegean Sea, in Greece, on the northern coast of Africa, at Carthage and other places, in Sicily and Corsica, in Spain at Tartessus, and even beyond the pillars of Hercules at Gadeira (Cádiz)"".[14]

In the time of King David (c. 1000 BC), a friendly alliance was entered into between the Kingdoms of Israel and Tyre, which was ruled by Hiram I.

The city of Tyre was particularly known for the production of a rare and extraordinarily expensive sort of purple dye, produced from the murex shellfish, known as Tyrian purple. This color was, in many cultures of ancient times, reserved for the use of royalty, or at least nobility.

It was often attacked by Egypt, besieged by Shalmaneser V, who was assisted by the Phoenicians of the mainland, for five years, and by Nebuchadnezzar (586–573 BC) under God's order, Ezekiel was sure, because of Tyre's continued wickedness (""They [the Babylonians] will plunder all your riches, and merchandise and break down your walls. The will destroy your lovely homes and dump your stones and timbers and even your dust into the sea. I will stop the music of your songs. No more will the sound of harps be heard among your people. I will make your island a bare rock, a place for fishermen to spread their nets"" Ezekiel 26:12-14 The Tyrians nevertheless held off Nebuchadnezzar's siege for thirteen years, resupplying the walled island city from its two harbours. Later, a king of Cyprus took Tyre using his fleet in the 370s BC, ""a remarkable success about which little is known,"" Robin Lane Fox remarked.[15]

In 332 BC, the city was conquered by Alexander the Great, after a siege of seven months in which he built the causeway from the mainland to within a hundred meters of the island,[16] where the sea floor sloped abruptly downwards.[17] Tyre continued to maintain much of its commercial importance until the Christian era. The presence of the causeway affected water currents nearby, causing sediment to build up, making the connection permanent.

In 315 BC, Alexander's former general Antigonus began his own siege of Tyre,[18] taking the city a year later.[19]

In 126 BC, Tyre regained its independence (from the Seleucids)[20] and was allowed to keep much of its independence when the area became a Roman province in 64 BC.[21"
15,Al-Hijr Archaeological Site (madāʼin Ṣāliḥ),http://en.wikipedia.org/wiki/Mada'in_Saleh,"Mada'in Saleh (Arabic: مدائن صالح, madāʼin Ṣāliḥ), also called Al-Hijr or Hegra (so in Greek and Latin, e.g. by Pliny [1]), is a pre-Islamic archaeological site located in the Al-Ula sector, within the Al Madinah Region of Saudi Arabia.[2] A majority of the vestiges date from the Nabatean kingdom (1st century CE).[3] The site constitutes the kingdom's southernmost and largest settlement after Petra, its capital.[4][5] Traces of Lihyanite and Roman occupation before and after the Nabatean rule, respectively, can also be found in situ,[5] while accounts from the Qur’an tell of an earlier settlement of the area by the tribe of Thamud in the 3rd millennium BC.[6]

According to the Islamic text, Allah punished the Thamudis for their persistent practice of idol worship and for conspiring to kill the prophet whom He sent, the non-believers being struck by an earthquake and lightning blasts.[7] Thus, the site has earned a superstitious reputation down to contemporary times as a cursed place[2]— an image which the national government is attempting to overcome as it seeks to develop Mada'in Saleh, officially protected as an archaeological site since 1972, for its tourism potential.[2][7]

In 2008, for its well-preserved remains from late antiquity, especially the 131 rock-cut monumental tombs, with their elaborately ornamented façades, of the Nabatean kingdom,[8] UNESCO proclaimed Mada'in Saleh as a site of patrimony, becoming Saudi Arabia's first World Heritage Site.[9]

Name

The long history of the place and the multitude of cultures to have occupied the site have led to the several names that are still in use to refer to the area. The place is currently known as Mada'in Saleh, Arabic for ""Cities of Saleh,"" which was coined by an Andalusian traveler in 1336 AD.[10] The name ""Al-Hijr,"" Arabic for ""rocky place,"" has also been used to allude to its topography.[5] Both names have been mentioned in the Qur’an when referring to the settlements found in the locality.[11] The ancient inhabitants of the area, the Thamudis and Nabateans, referred to the place as ""Hegra"".

Location

The archaeological site of Mada'in Saleh is situated 20 km (12.4 mi) north of the Al-Ula town, 400 km (248.5 mi) north-west of Medina, and 500 km (310.7 mi) south-east of Petra, in modern-day Jordan.[5] The site is on a plain, at the foot of a basalt plateau, which forms the south-east portion of the Hedjaz Mountains.[5] The western and north-western portions of the site contain a water table that can be reached at a depth of 20 m (65.6 ft).[5] The setting is notable for its desert landscape, marked by sandstone outcrops of various sizes and heights.[7]"
45,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,,
110,Buddhist Monuments in the Horyu-ji Area,http://en.wikipedia.org/wiki/Buddhist_Monuments_in_the_H%C5%8Dry%C5%AB-ji_Area,"The UNESCO World Heritage Site Buddhist Monuments in the Hōryū-ji Area includes a variety of buildings found in Hōryū-ji and Hokki-ji in Nara Prefecture, Japan. They were designated in 1993 along with the surrounding landscape, under several criteria. The structures inscribed are some of the oldest extant wooden buildings in the world, dating from the 7th to 8th centuries. Many of the monuments are also National Treasures of Japan, and reflect an important age of Buddhist influence in Japan. The structures include 21 buildings in the Hōryū-ji East Temple, 9 in the West Temple, 17 monasteries and other buildings, and the pagoda in Hokki-ji.[1]
"
391,Huanglong Scenic and Historic Interest Area,"http://en.wikipedia.org/wiki/Huanglong,_Sichuan","Huanglong (simplified Chinese: 黄龙; traditional Chinese: 黃龍; pinyin: Huánglóng) is a scenic and historic interest area in Songpan County in the northwest part of Sichuan, China. It is located in the southern part of the Minshan mountain range, 150 km north-northwest of the capital Chengdu. This area is known for its colorful pools formed by calcite deposits, especially in Huanglonggou (Yellow Dragon Gully), as well as diverse forest ecosystems, snow-capped peaks, waterfalls and hot springs. Huanglong is also home to many endangered species including the Giant Panda and the Sichuan Golden Snub-nosed Monkey. Huanglong was declared a World Heritage Site by UNESCO in 1992.

Due to thousands of years of geological evolution, Huanglong consists of numerous unique landscapes of geological landforms. Glacial revolution, terrane structure, stratum of carbonic acid rock, tufa water and climatic conditions such as artic-alpine sun light have created this world-famous travertine landscape.
These accumulated travertine landscapes and fascinating pools are Huanglong's main attraction. The total length of the travertine is 3.6km and it is thought to look like a huge golden dragon wheeling through the snow-capped mountains of the valley. The main landscapes are travertine banks, amazingly colourful ponds and travertine waterfalls and caves.
The main body of water starts from the ancient Buddhist/Benbo temple at the top of the valley and ends at Xishen Cave Waterfall in the north with a length of 2.5km and a width of 30 – 170m. The colours of Huanglong’s waters consist of yellows, greens, blues and browns. The flowing water appears golden in the sun. Known to the locals as “Golden Sand on Earth,” the Huanglong travertine bank is the largest in the world."
